0	13.77
1	13.92
2	13.96
3	14.05
4	13.86
5	13.87
6	13.77
7	14.03
8	14.09
9	14.04
10	13.98
11	14.09
12	14.04
13	14.03
14	13.75
15	13.83
16	13.93
17	13.99
18	13.91
19	14.02
20	14.06
21	13.93
22	13.97
23	14.21
24	13.95
25	14.01
26	13.83
27	14.21
28	14.14
29	14.20
30	14.33
31	14.43
32	14.13
33	14.38
34	14.21
35	14.19
36	14.25
37	14.41
38	14.51
39	14.38
40	14.53
41	14.53
42	14.23
43	14.26
44	14.39
45	14.57
46	14.49
47	14.54
48	14.84
49	14.59
50	14.57
51	14.68
52	14.79
53	14.78
54	14.69
55	14.87
56	14.76
57	14.85
58	14.64
59	14.79
60	14.91
61	14.77
62	14.76
63	14.80
64	14.87
65	14.97
66	15.23
67	15.12
